Date,Humidity,Wind_Speed,Pressure,Temp
01-01-1982,12.08,1.26,99.36,24.62
02-01-1982,12.51,2.38,99.32,24.52
03-01-1982,13.61,1.9,99.25,24.97
04-01-1982,14.28,1.73,99.27,25.35
05-01-1982,13.61,1.5,99.29,25.67
06-01-1982,12.57,1.77,99.29,25.51
07-01-1982,12.57,2.12,99.36,25.05
08-01-1982,13.61,1.78,99.45,25.19
09-01-1982,14.59,1.57,99.4,25.15
10-01-1982,15.32,2.02,99.3,25.29
11-01-1982,15.08,2.17,99.27,25.01
12-01-1982,15.08,2.38,99.3,25.12
13-01-1982,15.2,2.43,99.29,25.59
14-01-1982,14.53,2.2,99.32,26.13
15-01-1982,14.4,1.98,99.38,25.58
16-01-1982,14.04,1.86,99.41,25.44
17-01-1982,12.33,1.98,99.37,25.41
18-01-1982,13.92,1.84,99.43,25.89
19-01-1982,13.92,2.12,99.37,25.55
20-01-1982,12.88,2.48,99.37,25.6
21-01-1982,13.55,1.85,99.41,25.73
22-01-1982,10.74,2.56,99.34,25.52
23-01-1982,12.88,2.17,99.36,25.53
24-01-1982,12.82,2.09,99.39,25.76
25-01-1982,11.78,2.42,99.5,25.63
26-01-1982,13.24,2.43,99.52,25.47
27-01-1982,13.85,2.52,99.49,25.75
28-01-1982,14.28,2.31,99.38,25.7
29-01-1982,14.71,2.46,99.4,26.46
30-01-1982,14.1,2.65,99.4,26.48
31-01-1982,13.61,2.45,99.34,26.35
01-02-1982,13.73,2.3,99.26,26.2
02-02-1982,13.49,2.61,99.29,25.88
03-02-1982,15.14,2.18,99.35,26.57
04-02-1982,14.59,3.12,99.31,26.55
05-02-1982,13.18,3.34,99.25,26.77
06-02-1982,12.76,2.81,99.16,26.58
07-02-1982,13.55,2.95,99.23,26.51
08-02-1982,14.28,2.66,99.16,26.94
09-02-1982,14.4,2.71,99.25,27.22
10-02-1982,15.08,2.32,99.34,27.3
11-02-1982,14.83,2.66,99.29,27.47
12-02-1982,15.01,2.8,99.27,27.18
13-02-1982,14.1,2.84,99.26,27.33
14-02-1982,14.28,3.54,99.32,27.33
15-02-1982,14.04,3.28,99.3,27.44
16-02-1982,13.55,3.59,99.19,27.51
17-02-1982,13,2.84,99.2,27.22
18-02-1982,13.49,2.7,99.23,27.47
19-02-1982,13.98,2.61,99.27,27.58
20-02-1982,14.16,2.8,99.39,27.83
21-02-1982,13.92,2.27,99.3,28.02
22-02-1982,13.92,2.51,99.23,28.05
23-02-1982,12.94,2.48,99.18,28.29
24-02-1982,12.94,2.41,99.11,28.5
25-02-1982,13.43,2.39,99.18,28.06
26-02-1982,13.37,2.34,99.19,28.54
27-02-1982,13.92,2.05,99.28,28.42
28-02-1982,14.28,2.97,99.28,28.58
01-03-1982,14.1,3.06,99.21,28.19
02-03-1982,13.92,3.28,99.24,27.83
03-03-1982,13.61,3.02,99.32,28.54
04-03-1982,11.96,2.89,99.35,28.55
05-03-1982,13.12,3.84,99.33,28.01
06-03-1982,13.12,4,99.23,27.56
07-03-1982,13.06,3.24,99.23,26.94
08-03-1982,12.94,3.61,99.33,27.08
09-03-1982,12.33,3.58,99.23,27.98
10-03-1982,13.12,3.1,99.19,28.14
11-03-1982,13.49,3.36,99.29,27.94
12-03-1982,13.06,3.62,99.28,27.66
13-03-1982,12.57,2.77,99.18,28.32
14-03-1982,13.06,2.3,99.15,28.91
15-03-1982,14.47,2.26,99.18,28.79
16-03-1982,15.08,2.39,99.09,28.39
17-03-1982,15.01,2.58,99.09,27.87
18-03-1982,14.71,3.2,98.96,28.52
19-03-1982,14.34,3.32,99.04,28.4
20-03-1982,13.92,3.67,99.03,28.55
21-03-1982,13.98,3.18,99.06,28.61
